age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,income
0.30136986301369856,5,4,1,3,4,5,2,0.021740217402174022,0.0,0.39795918367346933,5,0
0.4520547945205479,6,4,4,8,6,5,2,0.0,0.0,0.12244897959183672,5,0
0.2876712328767123,4,2,3,4,4,5,2,0.0,0.0,0.39795918367346933,5,0
0.4931506849315069,4,1,4,4,6,3,2,0.0,0.0,0.39795918367346933,5,0
0.1506849315068493,4,4,4,7,5,3,1,0.0,0.0,0.39795918367346933,6,0
0.27397260273972607,4,5,4,8,5,5,1,0.0,0.0,0.39795918367346933,5,0
0.4383561643835617,4,1,3,1,4,3,1,0.0,0.0,0.1530612244897959,1,0
0.4794520547945205,6,2,4,8,6,5,2,0.0,0.0,0.44897959183673464,5,1
0.1917808219178082,4,5,1,7,4,5,1,0.14084140841408413,0.0,0.5,5,1
0.3424657534246575,4,4,4,8,6,5,2,0.051780517805178054,0.0,0.39795918367346933,5,1
0.27397260273972607,4,2,4,8,6,3,2,0.0,0.0,0.8061224489795917,5,1
0.1780821917808219,5,4,4,7,6,4,2,0.0,0.0,0.39795918367346933,9,1
0.0821917808219178,4,4,1,3,1,5,1,0.0,0.0,0.2959183673469387,5,0
0.2054794520547945,4,3,1,6,4,3,2,0.0,0.0,0.5,5,0
0.3150684931506849,4,3,4,4,6,4,2,0.0,0.0,0.39795918367346933,6,1
0.2328767123287671,4,1,4,4,6,2,2,0.0,0.0,0.44897959183673464,1,0
0.1095890410958904,6,2,1,4,1,5,2,0.0,0.0,0.346938775510204,5,0
0.2054794520547945,4,2,1,4,3,5,2,0.0,0.0,0.39795918367346933,5,0
0.2876712328767123,4,1,4,6,6,5,2,0.0,0.0,0.5,5,0
0.35616438356164376,6,5,3,8,3,5,1,0.0,0.0,0.44897959183673464,5,1
0.3150684931506849,4,7,4,7,6,5,2,0.0,0.0,0.6020408163265305,5,1
0.5068493150684932,4,2,3,1,3,3,1,0.0,0.0,0.19387755102040813,5,0
0.2465753424657534,8,1,4,4,6,3,2,0.0,0.0,0.39795918367346933,5,0
0.35616438356164376,4,1,4,4,6,5,2,0.0,0.4687786960514233,0.39795918367346933,5,0
0.5753424657534245,4,2,3,5,3,5,1,0.0,0.0,0.39795918367346933,5,0
0.5342465753424657,7,4,4,5,6,5,2,0.0,0.0,0.39795918367346933,5,1
0.0273972602739726,4,2,1,4,1,5,2,0.0,0.0,0.39795918367346933,5,0
0.5068493150684932,3,2,4,5,6,4,2,0.0,0.0,0.6020408163265305,3,1
0.30136986301369856,4,2,3,8,4,5,2,0.0,0.0,0.8061224489795917,5,0
0.4383561643835617,4,2,4,4,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.0821917808219178,7,3,1,5,4,5,2,0.0,0.0,0.520408163265306,5,0
0.0410958904109589,4,2,1,6,1,3,2,0.0,0.0,0.43877551020408156,5,0
0.3835616438356165,4,4,3,8,1,5,2,0.0,0.3232323232323232,0.39795918367346933,5,0
0.1780821917808219,8,2,4,3,1,5,2,0.0,0.0,0.39795918367346933,5,0
0.0684931506849315,5,2,4,1,6,3,2,0.0,0.0,0.14285714285714282,5,0
0.4246575342465753,4,1,1,4,3,5,2,0.0,0.0,0.39795918367346933,1,0
0.0547945205479452,4,2,1,4,1,5,2,0.0,0.0,0.39795918367346933,5,0
0.0273972602739726,4,2,4,3,5,5,1,0.0,0.0,0.24489795918367346,5,0
0.1917808219178082,4,2,4,6,6,5,2,0.0,0.0,0.37755102040816324,6,1
0.4246575342465753,6,3,4,7,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.1917808219178082,4,1,4,4,6,5,2,0.0,0.0,0.42857142857142855,5,0
0.4931506849315069,6,4,4,7,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.0958904109589041,4,4,4,5,6,5,2,0.0,0.0,0.5,5,0
0.4383561643835617,4,2,3,3,3,5,1,0.0,0.0,0.39795918367346933,5,0
0.1095890410958904,4,2,1,4,4,5,2,0.0,0.0,0.346938775510204,5,0
0.547945205479452,8,4,4,7,6,3,2,0.0,0.0,0.39795918367346933,5,1
0.4931506849315069,4,2,4,4,6,5,2,0.0,0.0,0.37755102040816324,5,0
0.3698630136986301,4,5,3,8,3,5,1,0.0,0.0,0.39795918367346933,5,0
0.32876712328767127,5,3,4,4,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.1643835616438356,4,3,1,7,4,5,2,0.0,0.0,0.42857142857142855,5,0
0.1095890410958904,4,2,4,8,5,1,1,0.0,0.0,0.39795918367346933,5,0
0.0136986301369863,4,2,1,1,1,5,1,0.0,0.0,0.2959183673469387,6,0
0.41095890410958896,4,6,4,7,5,5,1,0.0,0.43663911845730025,0.6020408163265305,1,1
0.4520547945205479,8,4,3,8,4,5,2,0.0,0.0,0.5510204081632653,5,1
0.41095890410958896,9,2,3,8,4,5,2,0.0,0.0,0.6020408163265305,5,0
0.35616438356164376,4,2,4,5,6,5,2,0.0,0.0,0.39795918367346933,5,1
0.3972602739726027,4,1,4,4,6,5,2,0.0,0.0,0.39795918367346933,1,0
0.2465753424657534,4,3,4,1,6,5,2,0.0,0.0,0.39795918367346933,1,0
0.32876712328767127,4,2,4,3,6,5,2,0.0,0.0,0.47959183673469385,5,0
0.1780821917808219,4,2,4,4,6,5,2,0.05013050130501305,0.0,0.39795918367346933,5,0
0.1780821917808219,4,4,4,6,6,5,2,0.024070240702407025,0.0,0.39795918367346933,5,0
0.2054794520547945,3,1,3,5,4,5,2,0.0,0.0,0.39795918367346933,6,0
0.4246575342465753,4,2,4,4,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.3424657534246575,4,7,4,7,6,5,2,0.0,0.0,0.44897959183673464,5,1
0.1643835616438356,4,2,3,5,4,5,2,0.0,0.0,0.5816326530612245,5,0
0.2602739726027397,4,2,4,4,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.1506849315068493,4,2,3,3,4,5,1,0.0,0.0,0.39795918367346933,5,0
0.4931506849315069,4,2,4,3,5,5,1,0.0,0.0,0.39795918367346933,5,1
0.4383561643835617,9,2,4,8,6,5,2,0.0,0.0,0.5,5,1
0.1095890410958904,3,2,1,5,1,5,2,0.0,0.0,0.39795918367346933,5,0
0.0273972602739726,4,2,1,7,1,5,2,0.0,0.0,0.31632653061224486,5,0
0.1917808219178082,4,4,3,6,1,3,1,0.0,0.0,0.39795918367346933,5,0
0.1643835616438356,6,4,4,6,6,5,2,0.0,0.0,0.7040816326530611,5,1
0.0821917808219178,4,2,1,4,4,5,2,0.0,0.0,0.39795918367346933,5,0
0.8493150684931505,4,2,4,7,2,5,2,0.0,0.0,0.19387755102040813,5,0
0.136986301369863,4,2,1,1,1,5,2,0.0,0.0,0.39795918367346933,1,0
0.3150684931506849,4,3,4,3,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.6849315068493149,3,1,4,5,6,5,2,0.0,0.0,0.01020408163265306,5,0
0.0136986301369863,4,1,1,1,1,5,1,0.0,0.0,0.21428571428571425,5,0
0.1917808219178082,7,1,4,4,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.0136986301369863,4,2,1,6,4,5,2,0.0,0.0,0.2959183673469387,5,0
0.4794520547945205,4,4,4,1,6,5,2,0.0,0.0,0.39795918367346933,6,0
0.3972602739726027,4,2,4,1,5,5,1,0.0,0.0,0.39795918367346933,5,0
0.5753424657534245,4,2,4,6,6,5,2,0.0,0.0,0.47959183673469385,5,0
0.3698630136986301,4,2,3,4,4,5,1,0.14344143441434415,0.0,0.39795918367346933,5,1
0.4931506849315069,4,2,3,6,1,5,1,0.0,0.0,0.346938775510204,5,0
0.4383561643835617,7,2,4,5,6,5,2,0.0,0.0,0.39795918367346933,5,1
0.2191780821917808,4,5,4,7,6,5,2,0.0,0.0,0.5,5,0
0.1780821917808219,4,1,1,6,4,5,2,0.0,0.0,0.39795918367346933,5,0
0.35616438356164376,8,7,1,7,4,5,1,0.0,0.0,0.5,5,1
0.547945205479452,4,3,4,7,6,5,2,0.0,0.0,0.39795918367346933,5,0
0.27397260273972607,4,2,3,4,3,5,1,0.0,0.0,0.39795918367346933,5,0
0.1506849315068493,4,2,3,4,3,3,1,0.0,0.0,0.24489795918367346,5,0
0.1780821917808219,4,2,4,6,5,4,1,0.0,0.3611111111111111,0.346938775510204,6,0
0.2328767123287671,7,4,4,5,6,5,2,0.0,0.0,0.39795918367346933,5,1
