checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0.508,0.029411764705882346,0.8289115646258503,0.7782918149466191,0.0505667436997909,0.8244565217391304,0.7468503937007873,1.0,0.7335154826958106,0.7001101321585903,1.0,0.7869257950530035,0.8571428571428572,0.7247852760736196,0.7390756302521009,0.3333333333333333,0.7047543581616481,0.0,0.7202469135802468,0.6926348547717843,1
0.61,0.6470588235294117,0.6811676082862523,0.7782918149466191,0.3136898866512601,0.6402317880794702,0.6932352941176471,0.3333333333333333,0.6485530546623793,0.7001101321585903,0.3333333333333333,0.7869257950530035,0.0535714285714286,0.7247852760736196,0.7390756302521009,0.0,0.7047543581616481,0.0,0.6862646566164153,0.6926348547717843,0
0.8827848101265823,0.1176470588235294,0.8289115646258503,0.5627450980392157,0.10157367668097282,0.6402317880794702,0.7754285714285714,0.3333333333333333,0.7335154826958106,0.7001101321585903,0.6666666666666667,0.7869257950530035,0.5357142857142858,0.7247852760736196,0.7390756302521009,0.0,0.7199004975124378,1.0,0.6862646566164153,0.6926348547717843,1
0.508,0.5588235294117647,0.6811676082862523,0.6796703296703297,0.4199405744470122,0.6402317880794702,0.7754285714285714,0.3333333333333333,0.7335154826958106,0.8056603773584906,1.0,0.6939914163090128,0.46428571428571425,0.7247852760736196,0.5935779816513762,0.0,0.7047543581616481,1.0,0.6862646566164153,0.6926348547717843,1
0.508,0.2941176470588235,0.6820224719101123,0.62,0.25420931000330144,0.6402317880794702,0.6932352941176471,0.6666666666666667,0.7335154826958106,0.7001101321585903,1.0,0.5658064516129032,0.6071428571428572,0.7247852760736196,0.5935779816513762,0.3333333333333333,0.7047543581616481,1.0,0.6862646566164153,0.6926348547717843,0
0.8827848101265823,0.47058823529411764,0.6811676082862523,0.5627450980392157,0.4844833278309673,0.8244565217391304,0.6932352941176471,0.3333333333333333,0.7335154826958106,0.7001101321585903,1.0,0.5658064516129032,0.28571428571428575,0.7247852760736196,0.5935779816513762,0.0,0.7199004975124378,1.0,0.7202469135802468,0.6926348547717843,1
0.8827848101265823,0.2941176470588235,0.6811676082862523,0.6796703296703297,0.14223616154946628,0.8234375,0.7468503937007873,0.6666666666666667,0.7335154826958106,0.7001101321585903,1.0,0.6939914163090128,0.6071428571428572,0.7247852760736196,0.7390756302521009,0.0,0.7047543581616481,0.0,0.6862646566164153,0.6926348547717843,1
0.61,0.47058823529411764,0.6811676082862523,0.8336538461538462,0.3685484758446132,0.6402317880794702,0.6932352941176471,0.3333333333333333,0.7335154826958106,0.7001101321585903,0.3333333333333333,0.6927927927927927,0.28571428571428575,0.7247852760736196,0.6094444444444445,0.0,0.6557046979865772,0.0,0.7202469135802468,0.6926348547717843,1
0.8827848101265823,0.1176470588235294,0.6811676082862523,0.7782918149466191,0.15456146142841423,0.8714285714285714,0.7754285714285714,0.3333333333333333,0.6019607843137255,0.7001101321585903,1.0,0.7869257950530035,0.75,0.7247852760736196,0.7390756302521009,0.0,0.7199004975124378,0.0,0.6862646566164153,0.6926348547717843,1
0.61,0.38235294117647056,0.8289115646258503,0.62,0.27423792230659183,0.6402317880794702,0.6301587301587303,1.0,0.7279569892473119,0.7001101321585903,0.3333333333333333,0.6927927927927927,0.16071428571428575,0.7247852760736196,0.7390756302521009,0.3333333333333333,0.6557046979865772,0.0,0.6862646566164153,0.6926348547717843,0
0.61,0.1176470588235294,0.6811676082862523,0.62,0.05749972488169913,0.6402317880794702,0.5936416184971098,0.6666666666666667,0.6485530546623793,0.7001101321585903,0.0,0.6927927927927927,0.10714285714285715,0.7247852760736196,0.6094444444444445,0.0,0.7047543581616481,0.0,0.6862646566164153,0.6926348547717843,0
0.508,0.6470588235294117,0.6811676082862523,0.65,0.22328601298558381,0.6402317880794702,0.5936416184971098,0.6666666666666667,0.6485530546623793,0.7001101321585903,1.0,0.6939914163090128,0.0892857142857143,0.7247852760736196,0.6094444444444445,0.0,0.7047543581616481,0.0,0.6862646566164153,0.6926348547717843,0
0.61,0.1176470588235294,0.6811676082862523,0.7782918149466191,0.07246616044899307,0.6402317880794702,0.6932352941176471,0.0,0.6485530546623793,0.7001101321585903,0.0,0.6927927927927927,0.0535714285714286,0.7247852760736196,0.7390756302521009,0.0,0.7047543581616481,0.0,0.7202469135802468,0.6926348547717843,1
